Job Posting ID,Job Posting Date,Job Title,Job Title Full,Job Title Additional Info,Job Position Type,Job Position Level,Years of Experience,Job Skills,Job Location,Minimum Pay,Maximum Pay,Pay Rate,Number of Applicants,Company Name,Company Industry,Company Size
2511464962,2017-01-02,Software Development Engineer,"Senior Software Development Engineer In Test, Data Security",,Full-time,Associate,3,"ci/cd, cloud, python, programming, linux, docker","San Diego, CA",,,,2,Netskope,Computer Software,"1,001-5,000 employees"
2698913189,2017-01-02,Data Scientist,Data Scientist,,Full-time,Entry level,2,"cloud, power_bi, python, gcp, programming, aws, sql, azure",United States,,,,6,Nutrien Ag Solutions,Farming,"10,001+ employees"
2738379210,2017-01-02,Ux Researcher,Ux Researcher,,Contract,Mid-Senior level,3,excel,"Bellevue, WA",,,,,Toptal,Internet,"1,001-5,000 employees"
2669926024,2017-01-02,Senior Analyst,"Senior Analyst, Sales Incentive Compensation",,Full-time,Mid-Senior level,5,excel,United States,,,,4,Cue Health,Biotechnology,"1,001-5,000 employees"
2703680779,2017-01-02,Software Engineer,Lead Software Engineer,,Full-time,Associate,1,"database, javascript, linux, server, c, oracle, aws, mysql, postgresql, sql, machine_learning","San Francisco, CA",,,,,Verikai,Computer Software,11-50 employees
2592607638,2017-01-03,Data Analyst,Senior Business Data Analyst,,Full-time,Associate,3,"sap, bi, ibm, saas, github, redshift, tableau, sql, atlassian, powerbi",United States,,,,11,Tactivos Inc.,,
2711762756,2017-01-03,Business Analyst,Technical Business Analyst,,Full-time,Mid-Senior level,3,"cloud, power_bi, agile, bi, tableau, etl, sql",Greater Philadelphia,,,,15,"Datasource Consulting, an EXL company",Information Technology & Services,51-200 employees
2690940101,2017-01-03,Data Scientist,Data Scientist,"Remote, Full-time",Contract,Mid-Senior level,4,,"Hillsboro, OR",,,,,Toptal,Internet,"1,001-5,000 employees"
2710371869,2017-01-03,Business Analyst,Business Analyst,(Remote),Contract,Associate,6,,"Jacksonville, FL",,,,14,Kforce Inc,Information Technology & Services,"1,001-5,000 employees"
2742235941,2017-01-03,Ux Researcher,Ux Researcher,,Contract,Mid-Senior level,9,excel,"Orem, UT",,,,,Toptal,Internet,"1,001-5,000 employees"
2714548763,2017-01-03,Developer,Mirth Data Integration Developer,,Full-time,Mid-Senior level,8,javascript,"Atlanta, GA",,,,2,InductiveHealth Informatics,Information Technology & Services,51-200 employees
2677671953,2017-01-03,Software Engineer,Senior Software Engineer,(REMOTE) SaaS Management,Full-time,Associate,4,"graphql, datadog, python, docker, saas, redis, golang, go, postgres","Virginia, MN",,,,,SailPoint,Computer Software,"1,001-5,000 employees"
2677402902,2017-01-03,Software Engineer,Senior Software Engineer,,Full-time,Mid-Senior level,7,"graphql, ci/cd, node, nosql",United States,,,,2,Jobot,Staffing & Recruiting,201-500 employees
2633319947,2017-01-04,Software Engineer,Backend Software Engineer,Product,Full-time,Entry level,1,"backend, java","Dallas, TX",,,,12,Addepar,Computer Software,201-500 employees
2723217037,2017-01-04,Developer,Liferay Developer,,Full-time,Mid-Senior level,6,"scrum, java, aws, agile","Atlanta, GA",162000,149000,hr,3,"ASAP Solutions Group, LLC",Management Consulting,"501-1,000 employees"
